Triangle,Plotcode
1,111
1,112
1,113
2,121
2,122
2,123
3,131
3,132
3,133
4,211
4,212
4,213
5,221
5,222
5,223
6,231
6,232
6,233
7,311
7,312
7,313
8,321
8,322
8,323
9,331
9,332
9,333
